키워드,자동완성순위,경쟁영상수,기회점수,살아있나,측정일
히요리 호텔 오사카 난바 스테이션,1,626,3.58,○,2026-07-10
페어필드 바이 메리어트 오사카 난바,1,700,3.51,○,2026-07-10
난바 숙소 위치,2,5727,2.39,○,2026-07-10
난바역 근처 호텔,3,4114,2.21,○,2026-07-10
도톤보리 숙소 가성비,2,12330,2.2,○,2026-07-10
난바역 호텔 추천,1,50773,2.13,○,2026-07-10
난바 숙소 추천,1,58529,2.1,○,2026-07-10
난바 호텔 추천,1,81937,2.04,○,2026-07-10
신사이바시 숙소 추천,2,25942,2.04,○,2026-07-10
도톤보리 숙소,1,86288,2.03,○,2026-07-10
신사이바시 숙소,1,91495,2.02,○,2026-07-10
도톤보리 호텔,1,106062,1.99,○,2026-07-10
신사이바시 호텔 추천,2,52766,1.91,○,2026-07-10
오사카 숙소 추천,1,192282,1.89,○,2026-07-10
오사카 호텔 추천,1,273754,1.84,○,2026-07-10
신사이바시 호텔,1,285087,1.83,○,2026-07-10
도톤보리 호텔 추천,2,98434,1.8,○,2026-07-10
오사카 숙소 추천 가성비,2,107842,1.79,○,2026-07-10
오사카 호텔 추천 가성비,2,149164,1.74,○,2026-07-10
도톤보리 신사이바시 호텔,3,44386,1.72,○,2026-07-10
난바역 호텔,2,187176,1.71,○,2026-07-10
오사카 숙소 위치,3,51609,1.7,○,2026-07-10
오사카 난바역 호텔 추천,4,25374,1.59,○,2026-07-10
오사카 숙소,2,574071,1.56,○,2026-07-10
오사카 호텔 가성비,3,149736,1.55,○,2026-07-10
오사카 여행,1,4093586,1.51,○,2026-07-10
난바 도톤보리 숙소,4,44916,1.5,○,2026-07-10
오사카 호텔 위치,4,80135,1.43,○,2026-07-10
오사카 호텔,2,2263892,1.42,○,2026-07-10
오사카 숙소 가성비,4,96632,1.4,○,2026-07-10
오사카 4성급 호텔 추천,5,20820,1.39,○,2026-07-10
도톤보리 근처 호텔,6,5601,1.33,○,2026-07-10
오사카 숙소 위치 추천,5,51613,1.27,○,2026-07-10
오사카 호텔 조식,5,72996,1.23,○,2026-07-10
오사카 대욕장 호텔 추천,7,3066,1.15,○,2026-07-10
난바 도톤보리 호텔,6,61201,1.04,○,2026-07-10
오사카 숙소 예약,6,73595,1.03,○,2026-07-10
오사카 호텔 위치 추천,6,201257,0.94,○,2026-07-10
오사카 난바 도톤보리 호텔,7,60716,0.84,○,2026-07-10
오사카 도톤보리 숙소 추천,7,79025,0.82,○,2026-07-10
난바 숙소,8,71033,0.62,○,2026-07-10
오사카 도톤보리 호텔 추천,8,112223,0.59,○,2026-07-10
일본 오사카 도톤보리 호텔,8,129181,0.59,○,2026-07-10
오사카 여행 숙소 위치 추천,8,183347,0.57,○,2026-07-10
오사카 호텔 예약,8,255157,0.55,○,2026-07-10
오사카 여행 숙소,8,256669,0.55,○,2026-07-10
오사카 여행 추천,9,1670042,0.32,○,2026-07-10
오사카 난바 숙소 가성비,10,27131,0.23,○,2026-07-10
오사카 여행 호텔 추천,10,1558354,0.16,○,2026-07-10
호텔 몬테레 그라스미어 오사카,없음,379,0.0,✗ 죽은키워드,2026-07-10
히요리호텔 오사카,변형,조회실패,0.0,○,2026-07-10
페어필드 바이 메리어트 오사카,변형,659,0.0,○,2026-07-10
